Prompt Number,Prompt,Challenge Category,,
Class18_Img01_Prompt03,Convert the spherical earth into a cube shaped earth,"CHANGE, ENTIRE OBJECT-IRRELEVANT",,
Class18_Img01_Prompt04,Move the continent of Asia into the view of the user,"CHANGE, SPECIFIC DETAIL",,
Class18_Img01_Prompt05,Move the continent of Australia into the view of the user,"CHANGE, SPECIFIC DETAIL",,
Class18_Img02_Prompt01,"Change the sky full of stars into a fantasy scene with glowing purple, blue and pink hues","CHANGE, SPECIFIC DETAIL",,
Class18_Img02_Prompt02,Change the style of the image to a cartoon,"CHANGE, STYLE TRANSFER",,
Class18_Img02_Prompt03,"Change the starry sky into swirling galaxies, and clusters of sparkling stars","CHANGE, SPECIFIC DETAIL",,
Class18_Img02_Prompt04,Change the style of the image to a van gogh painting,"CHANGE, STYLE TRANSFER",,
Class18_Img02_Prompt05,Add a strong black hole in the bottom left region of the image,"CHANGE, SPECIFIC DETAIL, SPECIFIC DETAIL",,
Class18_Img03_Prompt01,Change the landscape of the moon into a fantasy scene with glowing crackers bursting and rivers of fluorescent water flowing around,"CHANGE, SPECIFIC DETAIL",,
Class18_Img03_Prompt02,Change the moon into a giant glowing crystal,"CHANGE, ENTIRE OBJECT-RELEVANT",,
Class18_Img03_Prompt03,"Create a surreal effect of lunar explosion, where the moon is breaking apart","CHANGE, SPECIFIC DETAIL",,
Class18_Img03_Prompt04,Change the image of the moon into the interior of an antique clock,"CHANGE, SPECIFIC DETAIL",,
Class18_Img03_Prompt05,"Make the dark part of the moon darker, and the bright parts of the moon brighter","CHANGE, SPECIFIC DETAIL",,
Class18_Img04_Prompt01,"Enhance the saturn's rings to glow brightly with vibrant hues of neon purple, blue and teal","CHANGE, SPECIFIC DETAIL",,
Class18_Img04_Prompt02,"Change saturn into a cystalline planet, with the rings made of glowing faceted crystals","CHANGE, SPECIFIC DETAIL",,
Class18_Img04_Prompt03,"Change saturn's rings into fiery, glowing flames in shades of orange and red","CHANGE, SPECIFIC DETAIL",,
Class18_Img04_Prompt04,Build swirling storms on saturn's surface,"CHANGE, SPECIFIC DETAIL",,
Class18_Img04_Prompt05,Add futuristic cities on top of Saturn's rings,"CHANGE, SPECIFIC DETAIL",,
Class18_Img05_Prompt01,Change the sun into an orange,"CHANGE, ENTIRE OBJECT-IRRELEVANT",,
Class18_Img05_Prompt02,Add a fiery dragon emerging from the solar explosion ,"ADDITION, SPECIFIC DETAIL, SPECIFIC POSITION, SPECIFIC OBJECT",,
Class18_Img05_Prompt03,Add few more explosions throughout the surface of the sun,"CHANGE, SPECIFIC DETAIL",,
Class18_Img05_Prompt04,Add an alien spaceship nearby the explosion,"ADDITION, SPECIFIC DETAIL, SPECIFIC POSITION, SPECIFIC OBJECT",,
Class18_Img05_Prompt05,Change the solar explosion into a massive fire tornado,"CHANGE, SPECIFIC DETAIL, SPECIFIC POSITION",,
Class19_Img01_Prompt01,Remove the deer from the image and display a waterfall,"CHANGE, REMOVAL",,
Class19_Img01_Prompt02,Change the waterfall from the image and display it ias a deer,"CHANGE, REMOVAL, ENTIRE OBJECT-IRRELEVANT",,
Class19_Img01_Prompt03,Add a human diving from the waterfall into the river,"ADDITION, SPECIFIC DETAIL, SPECIFIC POSITION, SPECIFIC OBJECT",,
Class19_Img01_Prompt04,Add few crocodiles in the stream of water,"ADDITION, SPECIFIC DETAIL, SPECIFIC OBJECT",,
Class19_Img01_Prompt05,Add some birds flying around the waterfall,"ADDITION, SPECIFIC DETAIL, SPECIFIC POSITION, SPECIFIC OBJECT",,
Class19_Img02_Prompt01,"Remove the waterfall, and man from the picture to only display a deer","CHANGE, REMOVAL",,
Class19_Img02_Prompt02,Add some birds flying around the waterfall,"ADDITION, SPECIFIC DETAIL, SPECIFIC POSITION, SPECIFIC OBJECT",,
Class19_Img02_Prompt03,Make the man in the bottom hold a bow with an arrow,"ADDITION, SPECIFIC DETAIL, SPECIFIC POSITION, SPECIFIC OBJECT",,
Class19_Img02_Prompt04,Make the human diving from the waterfall into the river,"ADDITION, SPECIFIC DETAIL, SPECIFIC POSITION, SPECIFIC OBJECT",,
Class19_Img02_Prompt05,Remove the impression of the deer and fill the image with a waterfall,"CHANGE, REMOVAL, SPECIFIC DETAIL,",,
Class19_Img03_Prompt01,Remove the elephant and the river bed and make it a barren beach where the girl is standing,"CHANGE, REMOVAL",,
Class19_Img03_Prompt02,Remove the girl from the top of the elephant,"CHANGE, REMOVAL",,
Class19_Img03_Prompt03,Increase the size of the elephant's tusk such that it reachese the river water,"CHANGE, SPECIFIC DETAIL, SPECIFIC OBJECT",,
Class19_Img03_Prompt04,Add 5 more clown fishes inside the river within our view,"ADDITION, SPECIFIC DETAIL, COUNT, SPECIFIC OBJECT",,
Class19_Img03_Prompt05,Change the color of the child's dress to purple,"CHANGE, SPECIFIC DETAIL, SPECIFIC OBJECT",,
Class19_Img04_Prompt01,"Change the light bulb into a head of a man, and plug point into a broom","CHANGE, ENTIRE OBJECT-IRRELEVANT, MULTIPLE OBJECTS",,
Class19_Img04_Prompt02,Add a white full sleeved shirt with red jacket to the character,"ADDITION, SPECIFIC DETAIL, SPECIFIC OBJECT",,
Class19_Img04_Prompt03,Change the body of the character into a supervillain that emit electricity,"CHANGE, SPECIFIC DETAIL, SPECIFIC OBJECT",,
Class19_Img04_Prompt04,Change the plug point on the hand to medieval soldier's sword,"CHANGE, ENTIRE OBJECT-IRRELEVANT",,
Class19_Img04_Prompt05,Make the background of the image to be an examination hall,"CHANGE, BACKGROUND",,
Class19_Img05_Prompt01,"Remove the hand, jar, and background and replace them with the tiger being in the jungle","CHANGE, BACKGROUND, REMOVAL",,
Class19_Img05_Prompt02,Change the tiger by a mice,"CHANGE, ENTIRE OBJECT-IRRELEVANT",,
Class19_Img05_Prompt03,Make all the animals in the jar at the background to be  out of their jars and roam in the background,"CHANGE, BACKGROUND, REMOVAL",,
Class19_Img05_Prompt04,Change the human hand into a monster's hand with long nails,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class19_Img05_Prompt05,Change the thread on the hand into a fancy and modern watch,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class20_Img01_Prompt01,Change the spanner into a slotted screw driver,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class20_Img01_Prompt02,Change the racks in the background with a vehicle lift,"CHANGE, BACKGROUND",,
Class20_Img01_Prompt03,Add a yellow-colored safety helmet to the woman,"ADDITION, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class20_Img01_Prompt04,Add a automaton on the bench beside the woman,"ADDITION, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class20_Img01_Prompt05,"Add a welding helmet to the face, a stick welder to the hand, and change the dress into a welding jacket","ADDITION, CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class20_Img02_Prompt01,Wipe the content written on the board,"CHANGE, BACKGROUND, SPECIFIC OBJECT",,
Class20_Img02_Prompt02,Change the man's clothes to a nurse's uniform,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class20_Img02_Prompt03,Draw a flow chart of the photosynthesis on the board,"CHANGE, BACKGROUND, SPECIFIC OBJECT",,
Class20_Img02_Prompt04,Remove the spectacles from the man and add earrings,"ADDITION, REMOVAL, SPECIFIC OBJECT",,
Class20_Img02_Prompt05,Give the man a clean shave,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class20_Img03_Prompt01,Make all the goats brown,"CHANGE, SPECIFIC DETAIL, SPECIFIC OBJECT, MULTIPLE OBJECTS",,
Class20_Img03_Prompt02,"Turn all the goats into fire-wielding mini-monster villains and the herders into superheroes, and background into a battlefield","CHANGE, SPECIFIC DETAIL, SPECIFIC OBJECT, MULTIPLE OBJECTS",,
Class20_Img03_Prompt03,Change the style of the picture into a cartoon,"CHANGE, STYLE TRANSFER",,
Class20_Img03_Prompt04,"Adjust the lighting in the image to mimic the golden hour, with warm orange and pink hues","CHANGE, BACKGROUND",,
Class20_Img03_Prompt05,"Add a layer of mist into the image, making the visibility of the mountains hard","CHANGE, BACKGROUND",,
Class20_Img04_Prompt01,Defocus the bat and focus on the woman in the background,"CHANGE, CAMERA CONTROL",,
Class20_Img04_Prompt02,Change the background to a badminton court,"CHANGE, BACKGROUND",,
Class20_Img04_Prompt03,Add a cheering crowd in the background,"CHANGE, BACKGROUND",,
Class20_Img04_Prompt04,Add a modified wheelchair to facilitate better mobility,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class20_Img04_Prompt05,Make the hair color black,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class20_Img05_Prompt01,Remove all the people and vehicles from the background,"CHANGE, BACKGROUND",,
Class20_Img05_Prompt02, Change all the apples into oranges,"CHANGE, SPECIFIC OBJECT",,
Class20_Img05_Prompt03,"Defocus the man, his vehicle and focus on the fruits alone","CHANGE, CAMERA CONTROL",,
Class20_Img05_Prompt04,Change the color of the shirt to yellow,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class20_Img05_Prompt05,Add a rooster on the right side of the street,"ADDITION, SPECIFIC OBJECT, SPECIFIC DETAIL, SPECIFIC POSITION",,
